Followers,Total Videos,Upload Year,Upload Month,Upload Day,Upload Weekday,Engagement Rate,Number of Hashtags,Upload_Afternoon,Upload_Evening,Upload_Midnight,Upload_Morning
2000000,455,2020,11,3,2,0.0014235,2,0,1,0,0
2000000,455,2020,11,3,2,0.0005015,2,0,1,0,0
2000000,455,2020,11,3,2,0.00076,2,0,1,0,0
2000000,455,2020,11,3,2,0.0052915,3,1,0,0,0
2000000,455,2020,11,2,1,0.0155705,2,0,1,0,0
2000000,455,2020,11,2,1,0.000923,2,1,0,0,0
2000000,455,2020,11,2,1,0.0012715,2,1,0,0,0
2000000,455,2020,11,2,1,0.001212,2,1,0,0,0
20100000,49,2020,9,7,1,0.060075223880597,0,0,1,0,0
20100000,49,2020,3,1,7,0.0551117412935323,0,0,0,1,0
20100000,49,2020,2,27,4,0.0650019900497512,0,1,0,0,0
20100000,49,2020,2,10,1,0.1011990049751243,0,1,0,0,0
20100000,49,2020,2,8,6,0.0438243781094527,1,1,0,0,0
20100000,49,2020,2,4,2,0.0350301990049751,1,1,0,0,0
20100000,49,2020,2,4,2,0.0500975124378109,1,1,0,0,0
7800000,105,2020,7,10,5,0.0534688461538461,7,0,1,0,0
7800000,105,2020,7,7,2,0.0761526923076923,6,1,0,0,0
7800000,105,2020,7,2,4,0.0890655128205128,6,1,0,0,0
7800000,105,2020,7,1,3,0.0697821794871794,5,0,1,0,0
7800000,105,2020,5,20,3,0.0891693589743589,6,1,0,0,0
7800000,105,2020,5,19,2,0.10171,6,1,0,0,0
7800000,105,2020,5,18,1,0.0834423076923076,6,0,1,0,0
7800000,105,2020,5,14,4,0.0942625641025641,6,1,0,0,0
7800000,105,2020,5,11,1,0.088341282051282,6,1,0,0,0
10600000,420,2020,11,7,6,0.0023352830188679,2,0,1,0,0
10600000,420,2020,11,7,6,0.0019327358490566,2,0,1,0,0
10600000,420,2020,11,7,6,0.0001830188679245,3,0,0,0,1
10600000,420,2020,11,6,5,0.0024449056603773,3,1,0,0,0
10600000,420,2020,11,3,2,0.0380484905660377,2,0,0,1,0
